PLETH,II
44.7330842009,-96.1974113475
54.7663141948,-97.1974113475
61.3465120919,-106.1974113475
66.1282523251,-102.1974113475
69.2968587788,-98.1974113475
72.1735148982,-94.1974113475
70.4377280416,-82.1974113475
65.4732849204,-75.1974113475
63.9375786072,-66.1974113475
53.4383392184,-57.1974113475
47.8900455926,-49.1974113475
36.7516914462,-42.1974113475
31.3610067719,-26.1974113475
21.3910421041,-19.1974113475
13.7189113183,-10.1974113475
5.975257795,-3.1974113475
-0.8734875972,-3.1974113475
-5.6359076336,1.8025886525
-14.0768330369,5.8025886525
-16.6616167587,10.8025886525
-22.9976591838,13.8025886525
-22.0157170085,9.8025886525
-23.7340588204,10.8025886525
-22.365267741,4.8025886525
-18.5711866795,1.8025886525
-15.6125485601,-3.1974113475
-10.3858522014,-8.1974113475
-7.76215611,-2.1974113475
-4.2055837003,-6.1974113475
-1.8760549791,-13.1974113475
1.8363855328,-7.1974113475
3.1911100552,-13.1974113475
5.7525719577,-3.1974113475
8.2823932075,-1.1974113475
9.6629878679,7.8025886525
8.5562019822,5.8025886525
6.5169360062,6.8025886525
5.6872130278,9.8025886525
3.4121234116,-2.1974113475
1.7968452711,-11.1974113475
-1.6139512459,-1.1974113475
-2.2565994524,-1.1974113475
-5.5310372258,-1.1974113475
-7.3200483721,3.8025886525
-10.4526667211,-1.1974113475
-12.4048077714,-24.1974113475
-13.447677421,7.8025886525
-14.4522868854,141.8025886525
-17.3266324537,286.8025886525
-17.5909499952,178.8025886525
-20.2236100379,-44.1974113475
-22.5737196526,-27.1974113475
-22.3889738681,-18.1974113475
-22.4815089775,1.8025886525
-24.4050389091,7.8025886525
-23.4983413875,6.8025886525
-25.3982925071,13.8025886525
-23.5339946588,6.8025886525
-23.4558646539,13.8025886525
-22.4347003014,18.8025886525
-22.5454537812,11.8025886525
-21.3624913841,13.8025886525
-20.6336830213,18.8025886525
-22.1900993311,23.8025886525
-22.7121038042,25.8025886525
-22.2445716081,26.8025886525
-22.6178757756,45.8025886525
-23.3277573818,44.8025886525
