PLETH,II
9.0032951374294,-156.345072992701
14.4742902847328,-159.345072992701
18.1572767735373,-159.345072992701
22.3412891335961,-156.345072992701
26.2972580555149,-156.345072992701
29.2468841300748,-155.345072992701
30.4961216439771,-159.345072992701
30.203451439624,-153.345072992701
30.5474884077329,-148.345072992701
29.2272879041757,-150.345072992701
26.6119099456881,-150.345072992701
26.1652141321198,-151.345072992701
22.6659781567211,-150.345072992701
19.2789927236184,-147.345072992701
16.4857853740392,-150.345072992701
13.464642684635,-146.345072992701
9.35141304999648,-148.345072992701
6.57792270922841,-151.345072992701
3.22940056726777,-150.345072992701
0.657665693859559,-148.345072992701
-1.84269821344972,-145.345072992701
-5.28406925362554,-150.345072992701
-5.92156645469336,-143.345072992701
-7.34899492637999,-138.345072992701
-9.73012645183392,-131.345072992701
-9.63910903802727,-123.345072992701
-9.53167550714528,-123.345072992701
-8.85087890915232,-116.345072992701
-8.3663897715019,-115.345072992701
-6.99658497159445,-107.345072992701
-5.33013907240708,-102.345072992701
-5.88962900447385,-97.3450729927008
-2.5591133388383,-91.3450729927008
-1.68619091224585,-91.3450729927008
-1.64217061861335,-91.3450729927008
1.31686734420216,-95.3450729927008
1.35115481647679,-105.345072992701
1.44278144194847,-106.345072992701
2.20479935580895,-102.345072992701
2.55537636644736,-102.345072992701
2.17277967634365,-105.345072992701
1.58775607313571,-108.345072992701
2.14311434535367,-106.345072992701
1.5732828035644,-66.3450729927008
0.274623554338233,4.65492700729925
-0.576108953859331,-65.3450729927008
-2.53470282333413,-188.345072992701
-4.70922977724289,-182.345072992701
-5.46718825651187,-134.345072992701
-5.82641497132527,-123.345072992701
-7.35406062605414,-111.345072992701
-7.88631264249109,-114.345072992701
-10.3100489834448,-115.345072992701
-10.8726875447159,-106.345072992701
-12.4143952681145,-99.3450729927008
-10.81101755465,-105.345072992701
-12.5085902997307,-102.345072992701
-13.579154453237,-101.345072992701
-13.8067674965907,-97.3450729927008
-13.3644010138539,-94.3450729927008
-15.88552916345,-95.3450729927008
