PLETH,II
1.61136651201333,-11.3362797619047
2.69157951840025,-9.33627976190473
2.67011590793386,-12.3362797619047
2.6742189025508,-7.33627976190473
2.68651383938672,-12.3362797619047
1.69909570739007,-9.33627976190473
2.62590937915287,-7.33627976190473
1.74810621311104,-7.33627976190473
1.63104729907232,-11.3362797619047
1.69350995494087,-11.3362797619047
1.6872788545279,-12.3362797619047
0.679904718573027,-12.3362797619047
1.66028928555103,-11.3362797619047
1.66410796085683,-12.3362797619047
0.752906196973494,-14.3362797619047
0.587040831051497,-8.33627976190473
-1.15277520768563,-14.3362797619047
-0.514315065111401,-14.3362797619047
-1.13215285336366,-15.3362797619047
-1.45853566585146,-9.33627976190473
-1.25315051473652,-14.3362797619047
-1.32761449400214,-7.33627976190473
-1.38090658693275,4.66372023809527
-1.21479751513525,24.6637202380953
-1.46933071717227,8.66372023809527
-1.15719055216544,-38.3362797619047
-1.49309470943863,-35.3362797619047
-1.16687616136916,-17.3362797619047
-1.45346940165098,-17.3362797619047
-1.23038707671872,-15.3362797619047
-1.37390390778494,-16.3362797619047
-1.31727400852193,-17.3362797619047
-2.24959500491949,-15.3362797619047
-1.46440208225723,-17.3362797619047
-1.17295112531008,-15.3362797619047
-1.46882653858338,-15.3362797619047
-1.19670772872338,-15.3362797619047
-1.42131333979049,-14.3362797619047
-1.26166165598652,-18.3362797619047
-1.34638478798166,-15.3362797619047
-1.33874029683419,-9.33627976190473
-0.313419058212236,-9.33627976190473
0.594393310286703,-9.33627976190473
-0.182732733243997,-3.33627976190473
0.494828773222044,-4.33627976190473
0.839916267055468,-0.336279761904734
1.50640676371789,0.663720238095266
1.7978596265615,-3.33627976190473
1.6114613895255,-7.33627976190473
1.68342928321781,-6.33627976190473
2.68492888343999,-12.3362797619047
2.61581042830088,-12.3362797619047
2.77963562077707,-15.3362797619047
2.54387471145934,-13.3362797619047
1.86264535571646,-19.3362797619047
2.45846121893659,-19.3362797619047
2.86455166963654,-17.3362797619047
1.57259797236629,-15.3362797619047
1.73181362424087,-18.3362797619047
1.67115955187733,-16.3362797619047
1.63520248943703,-14.3362797619047
1.75688214433477,-19.3362797619047
1.56758770858447,-16.3362797619047
1.80143436256144,-15.3362797619047
1.54849804590219,-17.3362797619047
1.79524356306616,-19.3362797619047
1.57742285747665,-24.3362797619047
1.74807228202766,-20.3362797619047
0.675829028976904,-24.3362797619047
0.650514117973251,-24.3362797619047
0.724582293276095,-35.3362797619047
0.612517079615952,-24.3362797619047
0.749083798666588,-25.3362797619047
0.602767880293088,-28.3362797619047
-0.216846431932752,-25.3362797619047
-1.37283950336556,-20.3362797619047
0.62944727289991,-19.3362797619047
-1.19201515942606,-24.3362797619047
-1.44284343417045,-23.3362797619047
-1.22662776298149,-18.3362797619047
0.531734661015085,-19.3362797619047
-0.187071174698202,-19.3362797619047
0.560551248342991,-23.3362797619047
