PLETH,II
-1.37553257127983,-26.6375
-1.47716485310875,-10.6375
-1.39822044971561,-28.6375
-1.44881209684526,-26.6375
0.493181473641787,-25.6375
-1.27642021699569,-36.6375
-1.56645257212581,-18.6375
-1.32639471179228,-35.6375
-1.49777474292579,-39.6375
-1.40586132004314,-31.6375
-1.41583410265649,-10.6375
-1.48237443374077,-13.6375
-1.35152557019488,100.3625
-1.52937609041775,173.3625
-1.32490838510551,59.3625
-1.53468816637109,-70.6375
-1.33974604970629,-41.6375
-1.50266215252821,-11.6375
-1.38461192665427,-42.6375
-1.45017510692373,-23.6375
-1.43918984197679,-20.6375
-1.39880370115983,-11.6375
-1.48277058551202,-10.6375
-1.36650865677306,-28.6375
-2.46277418003614,-7.63750000000005
-4.31632059181124,-12.6375
-4.53412824402073,-4.63750000000005
-4.34869033900549,0.362499999999955
-4.48682638202768,-9.63750000000005
-4.40531388952093,3.36249999999995
-4.42693273365842,4.36249999999995
-2.54027661066647,-10.6375
-2.31311892724077,13.3625
-2.54618829506642,36.3625
-3.29075071072067,9.36249999999995
-4.50394196642153,33.3625
-2.46630516794899,29.3625
-1.41617305088468,29.3625
0.457461178621006,19.3625
1.64224907703184,48.3625
1.49865155271006,6.36249999999995
2.5907483830578,9.36249999999995
2.55481615313389,12.3625
3.5355664324817,-18.6375
3.60390002002547,-18.6375
5.45788089127274,-51.6375
5.66181216216122,-1.63750000000005
5.50134272865346,-31.6375
5.60662908302613,-27.6375
5.56214456838811,-38.6375
5.54636551278699,-31.6375
5.61624180986822,-38.6375
3.58073336432059,-40.6375
3.58120313188442,-28.6375
2.57425010456043,-22.6375
2.58652854646187,-35.6375
2.53164957658791,-22.6375
1.65950029988039,-18.6375
1.47637564913633,-43.6375
1.65440683659556,-38.6375
0.536667458903057,-35.6375
0.58772151554668,-30.6375
-1.35818042548323,-15.6375
-1.50417173603879,-10.6375
-1.36484982068371,-33.6375
-1.4849124210015,-38.6375
-1.39390896292035,-22.6375
-1.44954880044882,-22.6375
-1.43176010532039,-31.6375
0.509347306781718,-18.6375
0.600609616308441,-26.6375
0.565766803851593,-9.63750000000005
0.545295068972879,-6.63750000000005
0.614857993542703,-18.6375
0.506562483104001,-10.6375
-0.32076337815242,-27.6375
-1.4977246602734,-15.6375
-1.3723026810586,-9.63750000000005
-0.516077160715197,-26.6375
-1.33005887426354,-26.6375
-0.537537662859729,-17.6375
0.592525739904571,-28.6375
0.584944485241278,-4.63750000000005
0.517689764449667,-35.6375
0.647638960035903,-18.6375
0.472092127436905,-3.63750000000005
0.673177942698121,16.3625
0.467456306505405,4.36249999999995
0.65809836916382,-10.6375
0.499300866798419,-15.6375
0.613787346032089,9.36249999999995
0.550940870297965,-15.6375
-0.400909684589025,-22.6375
-1.39212971260345,-3.63750000000005
-1.49143435071867,1.36249999999995
-2.31798077660422,-24.6375
-1.58234752732453,-15.6375
-2.25900332244022,9.36249999999995
-2.56747736434886,-28.6375
-2.34058496790683,-30.6375
-2.47088655175256,29.3625
-2.44193120206526,129.3625
-2.37468945977191,173.3625
-1.56317255752453,53.3625
-2.2417564314058,-54.6375
-2.61669390367405,-12.6375
-1.30535700933038,-42.6375
-1.52874231343293,-18.6375
-1.36864888678913,-31.6375
-1.45530512872868,-22.6375
-1.44453389795746,-3.63750000000005
-1.38430207213438,-6.63750000000005
0.417957932365142,-15.6375
0.723919053224066,-9.63750000000005
0.424618637438567,0.362499999999955
-1.23269567162575,-3.63750000000005
0.339157246986368,-15.6375
0.728156226562601,4.36249999999995
-0.471605020622326,16.3625
0.495981500289051,-10.6375
-0.260517117102171,-14.6375
-1.59810955083759,17.3625
-1.24434213107466,16.3625
-1.61858789969933,12.3625
-1.26066548506056,9.36249999999995
-1.56985767395982,37.3625
-1.33470018860756,3.36249999999995
-1.47944987781591,17.3625
-0.470547145407217,12.3625
0.607836950569273,25.3625
1.4563219131867,-1.63750000000005
3.62218720297982,-14.6375
4.4586918808594,-25.6375
5.64346300234114,-12.6375
5.4952971300377,-6.63750000000005
5.63460545978848,-27.6375
5.51657332123104,-27.6375
5.60387716392884,-18.6375
5.55312834505479,-9.63750000000005
5.56538734584444,-31.6375
5.58978134618758,-19.6375
4.57272099483311,-10.6375
3.62025636489114,-17.6375
2.54908587052402,-27.6375
2.59651522346441,-27.6375
2.53660093405067,-36.6375
2.60239321457261,-25.6375
1.57621368350584,-42.6375
1.56339481236893,4.36249999999995
1.57213226772729,-20.6375
1.56798121108475,-9.63750000000005
1.56751162691509,-36.6375
0.611042749968272,-38.6375
0.531891067058297,-27.6375
0.597605011171546,-25.6375
-0.410688426094843,-28.6375
-0.456134890954223,-23.6375
-1.36539928894105,4.36249999999995
-1.48936877473992,-6.63750000000005
-1.38525495440447,-18.6375
-1.46126014665108,-18.6375
-1.41833079798017,-20.6375
-1.42671490997898,-14.6375
-1.45098109719389,-34.6375
-1.39888422583532,0.362499999999955
-1.47174815304355,-2.63750000000005
-1.38658589945603,-6.63750000000005
-1.47507858578512,-15.6375
-1.39184000434927,-1.63750000000005
-1.46240119020732,1.36249999999995
-1.41017124108275,-4.63750000000005
0.481731868674427,-3.63750000000005
0.631185246650593,-6.63750000000005
0.535337650186435,-6.63750000000005
0.572726209444449,-3.63750000000005
1.55392875783321,-14.6375
0.592654905553138,10.3625
-1.34427603758152,-19.6375
-1.53414224141893,-6.63750000000005
-1.32288110813765,17.3625
-1.53399861158527,9.36249999999995
-2.30403244673559,-4.63750000000005
-2.52974667223597,-16.6375
-2.36803435049306,-25.6375
-1.49434635617071,-20.6375
-1.41256850319826,-22.6375
-1.40673388946956,-35.6375
-1.49282557672069,-35.6375
-1.34081174062356,-32.6375
-1.53932419214639,-4.63750000000005
-1.31660248686586,-9.63750000000005
-1.5406979833251,-20.6375
-1.3364193673298,-35.6375
-1.50320115822276,16.3625
-1.38669474050817,112.3625
-1.44587011848214,192.3625
-1.4451393352018,72.3625
-2.35305317001982,-78.6375
-2.52208161792339,-22.6375
-2.33683541508857,-18.6375
-1.55845467131664,-22.6375
-1.32413908317249,-18.6375
-1.50927510379612,-22.6375
-1.38691643988824,-9.63750000000005
-1.43986272931869,9.36249999999995
-1.45591773187578,-13.6375
-1.37773254541807,-3.63750000000005
-1.50586511491526,-9.63750000000005
-1.34372078627076,4.36249999999995
-1.52197927427095,-12.6375
-2.30678584366575,1.36249999999995
-1.57464246230773,-6.63750000000005
-2.28341515229614,-9.63750000000005
-3.49110941713401,-9.63750000000005
-4.3799995147462,32.3625
-4.43041882200202,4.36249999999995
-1.59609504564722,9.36249999999995
-1.24669892932955,25.3625
-1.61613713899471,15.3625
0.659339575466814,29.3625
1.45759874702222,13.3625
1.65003947149418,53.3625
2.48428206018579,21.3625
2.6098339074974,-3.63750000000005
5.45548853601327,9.36249999999995
3.69955708372462,-17.6375
4.47338697923836,-15.6375
3.62292595577029,-31.6375
5.5192900543122,-25.6375
3.60968250404218,-22.6375
3.61769728374588,-19.6375
2.48083036496207,-27.6375
2.72366207062822,-10.6375
2.36710046694762,-20.6375
2.79500953890049,-22.6375
2.34155551915534,-31.6375
2.77590688952362,-15.6375
1.43888396052554,-25.6375
1.65443102793784,-12.6375
1.53235821486292,-20.6375
1.55673343351127,-31.6375
1.62475920299557,-10.6375
0.516755129764676,-22.6375
1.61262609647045,-33.6375
1.498121576368,-22.6375
1.65788297540008,-4.63750000000005
1.47141171208613,-31.6375
0.703817766779842,-18.6375
-0.510244605029687,-33.6375
-1.33324081181359,-20.6375
-1.49825574591288,-27.6375
-0.437511745227993,-31.6375
0.564785607327608,-23.6375
0.543404657275885,-10.6375
0.619219064981728,-26.6375
0.500333002614203,-3.63750000000005
0.647759212298283,-39.6375
0.487880627044996,-20.6375
1.60535801965839,-27.6375
0.576884617670231,-27.6375
0.55943371721098,-10.6375
0.578755239321415,-38.6375
0.559526279071388,-35.6375
-1.34545118638991,-17.6375
-1.50143887572905,-35.6375
-1.38158643916659,-26.6375
-1.45683462838928,-31.6375
-1.42980516639933,-21.6375
-1.40981886498127,-28.6375
-1.4712879607103,-19.6375
-1.37734208776524,-18.6375
-1.49240281520515,-22.6375
-1.36869305337284,-6.63750000000005
-1.48874073401253,5.36249999999995
-1.3833652774373,-6.63750000000005
-2.42645010752948,3.36249999999995
-1.48371433211191,-10.6375
-2.33928466378471,-35.6375
-2.51167539751658,-27.6375
-2.36855920816149,-23.6375
-4.39352200634754,-35.6375
-4.47988210336557,-9.63750000000005
-4.37666082858739,-17.6375
-4.48572183172364,-18.6375
-4.38153574297137,-23.6375
-4.47142332935276,-42.6375
